index	language	glottocode	iso	word_forms	colexification_type	source_domain	target_domain	source_concept_ID	target_concept_ID	source_concept_definition	target_concept_definition	source_translation_in_English	target_translation_in_English	macro_area	language_family	latitude	longitude
14	American Sign Language	amer1248	ase	9@sideneckhigh-palmdown-9@sideneckhigh-palmdown upanddown-upanddown 9@sidechesthigh-palmdown-9@sidec	full	substance	action	n14985383	v00283090	a usually soluble substance for staining or coloring e.g. fabrics or hair	color with dye	dye	dye	Africa;North America	Sign Language	33.8117	278.3879
17	Basque	basq1248	eus	abandonatu	full	action	result	v00613683	n10107883	go and leave behind, either intentionally or by neglect or forgetfulness	a child who has been abandoned and whose parents are unknown	leave	foundling	Eurasia		43.2787	-1.31622
18	Basque	basq1248	eus	abandonatu	full	action	result	v00614057	n10107883	leave someone who needs or counts on you; leave in the lurch	a child who has been abandoned and whose parents are unknown	desert	foundling	Eurasia		43.2787	-1.31622
20	Hiligaynon	hili1240	hil	abaniko	full	instrument	action	n03320046	v01885580	a device for creating a current of air by movement of a surface or surfaces	agitate the air	fan	fan	Papunesia	Austronesian	10.4018	122.974
22	English	stan1293	eng	accent	full	action	result	v01013367	n14434866	to stress, single out as important	special importance or significance	accentuate	emphasis	Africa;Eurasia;South America	Indo-European	53	-1
23	English	stan1293	eng	ace	full	agent	action	n09762509	v01077759	someone who is dazzlingly skilled in any field	serve an ace against (someone)	sensation	ace	Africa;Eurasia;South America	Indo-European	53	-1
24	English	stan1293	eng	ache	full	action	result	v02121511	n14323683	feel physical pain	a dull persistent (usually moderately intense) pain	ache	ache	Africa;Eurasia;South America	Indo-European	53	-1
25	English	stan1293	eng	ache	full	action	result	v02122164	n14323683	be the source of pain	a dull persistent (usually moderately intense) pain	hurt	ache	Africa;Eurasia;South America	Indo-European	53	-1
27	Czech	czec1258	ces	jíst ; jídlo	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	49.873398	15.10437
28	Slovak	slov1269	slk	jesť ; jedlo	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	48.545705	18.78479
29	Spanish	stan1288	spa	comer ; comida	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	40.4414	-1.11788
30	Portuguese	port1283	por	comer ; comida	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	39.91	-8.1
31	Standard Malay	stan1306	zsm	santap ; santapan	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Austronesian	3.08896	101.699
32	Standard Indonesian	indo1316	ind	santap ; santapan	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Papunesia	Austronesian	-7.33458	109.716
33	Romanian	roma1327	ron	mânca ; mâncare	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	46.3913	24.2256
34	Khasi	khas1269	kha	bam ; jingbam	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Austroasiatic	24.977	91.9998
35	Eastern Armenian	nucl1235	hye	ուտել ; ուտելիք	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	40	45
36	Aromanian	arom1237	rup	mãc ; mãcare	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	40.616	21.2
37	Tagalog	taga1270	tgl	kain ; pagkain	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Papunesia	Austronesian	14.06	121.747
38	Tok Pisin	tokp1240	tpi	kai ; kaikai	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Papunesia	Indo-European	-9.41971	147.303
39	Esperanto	espe1235	epo	manĝi ; manĝaĵo	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Artificial Language	49.3273	2.81045
40	Swahili	swah1253	swa	kula ; chakula	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Africa	Atlantic-Congo	-8.25605	37.624
41	Continental Southern Italian	neap1235	nap	mangià ; mmangià	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	39.2288	16.4225
42	Zulu	zulu1248	zul	dla ; ukudla	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Africa	Atlantic-Congo	-28.9	30.2
43	Sanskrit	sans1269	san	खाद् ; खाद्य	partial	action	food	v01168468	n00021734	take in solid food	any substance that can be metabolized by an organism to give energy and build tissue	eat	food	Eurasia	Indo-European	20	77
51	Portuguese	port1283	por	comer ; comida	partial	action	food	v01179865	n00021734	take in food; used of animals only	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	39.91	-8.1
52	Latin	lati1261	lat	pabulor ; pabulum	partial	action	food	v01179865	n00021734	take in food; used of animals only	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	41.9026	12.4502
53	Romanian	roma1327	ron	mânca ; mâncare	partial	action	food	v01179865	n00021734	take in food; used of animals only	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	46.3913	24.2256
54	Zulu	zulu1248	zul	dla ; ukudla	partial	action	food	v01179865	n00021734	take in food; used of animals only	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Africa	Atlantic-Congo	-28.9	30.2
55	Standard Arabic	stan1318	arb	أطعم ; أطعمة	partial	action	food	v01179865	n00021734	take in food; used of animals only	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Afro-Asiatic	27.9625	43.8525
60	German	stan1295	deu	nähren ; nährstoff	partial	action	food	v01180206	n00021734	serve as food for; be the food for	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	48.649	12.4676
61	Basque	basq1248	eus	elikatu ; elikagai	partial	action	food	v01180206	n00021734	serve as food for; be the food for	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia		43.2787	-1.31622
62	Spanish	stan1288	spa	nutrir ; nutriente	partial	action	food	v01180206	n00021734	serve as food for; be the food for	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	40.4414	-1.11788
63	Spanish	stan1288	spa	nutrir ; nutrimento	partial	action	food	v01180206	n00021734	serve as food for; be the food for	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	40.4414	-1.11788
64	French	stan1290	fra	nourrir ; nourriture	partial	action	food	v01180206	n00021734	serve as food for; be the food for	any substance that can be metabolized by an organism to give energy and build tissue	feed	food	Eurasia	Indo-European	48	2
65	Spanish	stan1288	spa	alimento ; alimentar	partial	substance	action	n00021734	v01182021	any substance that can be metabolized by an organism to give energy and build tissue	provide as food	food	feed	Eurasia	Indo-European	40.4414	-1.11788
66	Portuguese	port1283	por	alimento ; alimentar	partial	substance	action	n00021734	v01182021	any substance that can be metabolized by an organism to give energy and build tissue	provide as food	food	feed	Eurasia	Indo-European	39.91	-8.1
67	Catalan	stan1289	cat	aliment ; alimentar	partial	substance	action	n00021734	v01182021	any substance that can be metabolized by an organism to give energy and build tissue	provide as food	food	feed	Eurasia	Indo-European	41.453	1.569
68	Catalan	stan1289	cat	sustent ; sustentar	partial	substance	action	n00021734	v01182021	any substance that can be metabolized by an organism to give energy and build tissue	provide as food	food	feed	Eurasia	Indo-European	41.453	1.569
69	Romanian	roma1327	ron	vițel	full	animal	meat	n01318053	n07665308	a domestic animal (especially a young steer or heifer) kept as stock until fattened or matured and suitable for a breeding establishment	meat from a calf	stocker	veal	Eurasia	Indo-European	46.3913	24.2256
70	English	stan1293	eng	hen	full	animal	meat	n01321123	n07646067	female of certain aquatic animals e.g. octopus or lobster	flesh of an older chicken suitable for stewing	hen	hen	Africa;Eurasia;South America	Indo-European	53	-1
71	French	stan1290	fra	poule	full	animal	meat	n01321123	n07646067	female of certain aquatic animals e.g. octopus or lobster	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Indo-European	48	2
72	Romanian	roma1327	ron	găină	full	animal	meat	n01321123	n07646067	female of certain aquatic animals e.g. octopus or lobster	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Indo-European	46.3913	24.2256
73	English	stan1293	eng	bird	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Africa;Eurasia;South America	Indo-European	53	-1
74	Urdu	urdu1245	urd	چڑیا	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	25	67
75	Farsic-Caucasian Tat	fars1254	fas	پرنده	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	37.24538474190638	50.26938429326292
76	Basque	basq1248	eus	hegazti	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia		43.2787	-1.31622
77	Portuguese	port1283	por	pássaro	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	39.91	-8.1
78	Standard Malay	stan1306	zsm	burung	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Austronesian	3.08896	101.699
79	Standard Indonesian	indo1316	ind	burung	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Papunesia	Austronesian	-7.33458	109.716
80	French	stan1290	fra	oiseau	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	48	2
81	Thai	thai1261	tha	นก	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Tai-Kadai	14.192	100.671
82	Finnish	finn1318	fin	lintu	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Uralic	64.7628	25.5577
83	Romanian	roma1327	ron	pasăre	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	46.3913	24.2256
84	Standard Arabic	stan1318	arb	طير	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Afro-Asiatic	27.9625	43.8525
85	Standard Arabic	stan1318	arb	طائِر	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Afro-Asiatic	27.9625	43.8525
86	Standard Arabic	stan1318	arb	طيْر	full	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Afro-Asiatic	27.9625	43.8525
87	Bengali	beng1280	ben	পক্ষী ; পক্ষীমাংস	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	24	90
88	Urdu	urdu1245	urd	چڑیا ; چڑیاکاگوشت	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	25	67
89	Dutch	dutc1256	nld	vogel ; gevogelte	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	52	5
90	Modern Greek	mode1248	ell	πουλί ; πουλερικό	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	38.36	23.13
91	Finnish	finn1318	fin	lintu ; riistalintu	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Uralic	64.7628	25.5577
92	Japanese	nucl1643	jpn	鳥 ; 鳥肉	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Japonic	35	135
93	Lithuanian	lith1251	lit	paukštis ; paukštiena	partial	animal	meat	n01503061	n07644382	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	the flesh of a bird or fowl (wild or domestic) used as food	bird	fowl	Eurasia	Indo-European	55.1429	23.9601
94	Standard Malay	stan1306	zsm	unggas	full	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Eurasia	Austronesian	3.08896	101.699
95	Standard Indonesian	indo1316	ind	unggas	full	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Papunesia	Austronesian	-7.33458	109.716
96	Mongolian	mong1331	mon	шувуу ; шувууны мах	partial	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Eurasia	Mongolic-Khitan	45.77047900000001	87.25413566666667
97	Basque	basq1248	eus	hegazti ; hegazti-azienda	partial	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Eurasia		43.2787	-1.31622
98	Dutch	dutc1256	nld	vogel ; gevogelte	partial	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Eurasia	Indo-European	52	5
99	Romanian	roma1327	ron	pasăre ; carnedepasăre	partial	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Eurasia	Indo-European	46.3913	24.2256
100	Lithuanian	lith1251	lit	paukštis ; paukštiena	partial	animal	meat	n01503061	n07644706	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	flesh of chickens or turkeys or ducks or geese raised for food	bird	poultry	Eurasia	Indo-European	55.1429	23.9601
101	Japanese	nucl1643	jpn	ひな鳥	full	animal	meat	n01504344	n07646403	young bird not yet fledged	flesh of a pigeon suitable for roasting or braising; flesh of a dove (young squab) may be broiled	nestling	squab	Eurasia	Japonic	35	135
102	French	stan1290	fra	poulet	full	animal	meat	n01514859	n07644967	adult female bird	the flesh of a chicken used for food	hen	poulet	Eurasia	Indo-European	48	2
103	Basque	basq1248	eus	oilo ; oilasko	partial	animal	meat	n01514859	n07644967	adult female bird	the flesh of a chicken used for food	hen	poulet	Eurasia		43.2787	-1.31622
104	Polish	poli1260	pol	kura ; kurczak	partial	animal	meat	n01514859	n07644967	adult female bird	the flesh of a chicken used for food	hen	poulet	Eurasia	Indo-European	51.8439	18.6255
105	French	stan1290	fra	poule ; poulet	partial	animal	meat	n01514859	n07644967	adult female bird	the flesh of a chicken used for food	hen	poulet	Eurasia	Indo-European	48	2
106	English	stan1293	eng	hen	full	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Africa;Eurasia;South America	Indo-European	53	-1
107	Basque	basq1248	eus	oilo	full	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia		43.2787	-1.31622
108	Polish	poli1260	pol	kura	full	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Indo-European	51.8439	18.6255
109	Standard Malay	stan1306	zsm	ayam betina	full	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Austronesian	3.08896	101.699
110	French	stan1290	fra	poule	full	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Indo-European	48	2
111	Standard Malay	stan1306	zsm	betina ; ayam betina	partial	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Austronesian	3.08896	101.699
112	Standard Malay	stan1306	zsm	ayam ; ayam betina	partial	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Austronesian	3.08896	101.699
113	French	stan1290	fra	poule ; poulet	partial	animal	meat	n01514859	n07646067	adult female bird	flesh of an older chicken suitable for stewing	hen	hen	Eurasia	Indo-European	48	2
114	Portuguese	port1283	por	pássaro	full	animal	meat	n01527347	n07644382	small brownish European songbird	the flesh of a bird or fowl (wild or domestic) used as food	hedge sparrow	fowl	Eurasia	Indo-European	39.91	-8.1
115	Standard Malay	stan1306	zsm	burung	full	animal	meat	n01537134	n07644382	any of numerous seed-eating songbirds of Europe or North America	the flesh of a bird or fowl (wild or domestic) used as food	bunting	fowl	Eurasia	Austronesian	3.08896	101.699
116	Standard Indonesian	indo1316	ind	burung	full	animal	meat	n01537134	n07644382	any of numerous seed-eating songbirds of Europe or North America	the flesh of a bird or fowl (wild or domestic) used as food	bunting	fowl	Papunesia	Austronesian	-7.33458	109.716
117	Farsic-Caucasian Tat	fars1254	fas	مرغ بهشتی	full	animal	meat	n01548301	n07647602	large American flycatcher	flesh of a pheasant; usually braised	tyrannus tyrannus	pheasant	Eurasia	Indo-European	37.24538474190638	50.26938429326292
118	Thai	thai1261	tha	นก	full	animal	meat	n01587526	n07644382	North American songbird whose call resembles a cat's mewing	the flesh of a bird or fowl (wild or domestic) used as food	catbird	fowl	Eurasia	Tai-Kadai	14.192	100.671
119	Spanish	stan1288	spa	pollo	full	animal	meat	n01613615	n07644967	a bird that is still young	the flesh of a chicken used for food	young bird	poulet	Eurasia	Indo-European	40.4414	-1.11788
120	English	stan1293	eng	chick ; chicken	partial	animal	meat	n01613615	n07644967	a bird that is still young	the flesh of a chicken used for food	young bird	poulet	Africa;Eurasia;South America	Indo-European	53	-1
121	Catalan	stan1289	cat	poll ; pollastre	partial	animal	meat	n01613615	n07644967	a bird that is still young	the flesh of a chicken used for food	young bird	poulet	Eurasia	Indo-European	41.453	1.569
122	Spanish	stan1288	spa	pollo	full	animal	meat	n01613615	n07645242	a bird that is still young	flesh of a small young chicken not over 2 1/2 lb suitable for broiling	young bird	broiler	Eurasia	Indo-European	40.4414	-1.11788
123	Catalan	stan1289	cat	poll ; pollastre	partial	animal	meat	n01613615	n07645242	a bird that is still young	flesh of a small young chicken not over 2 1/2 lb suitable for broiling	young bird	broiler	Eurasia	Indo-European	41.453	1.569
124	English	stan1293	eng	alligator	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Africa;Eurasia;South America	Indo-European	53	-1
125	Urdu	urdu1245	urd	گھڑیال	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Indo-European	25	67
126	Farsic-Caucasian Tat	fars1254	fas	تمساح	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Indo-European	37.24538474190638	50.26938429326292
127	Turkish	nucl1301	tur	timsah	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Turkic	39.8667	32.8667
128	Korean	kore1280	kor	악어	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Koreanic	37.54	126.98
129	Hindi	hind1269	hin	मगर	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Indo-European	25	77
130	Hindi	hind1269	hin	घड़ियाल	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Indo-European	25	77
131	Tok Pisin	tokp1240	tpi	pukpuk	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Papunesia	Indo-European	-9.41971	147.303
132	Central Khmer	cent1989	khm	ក្រពើ	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Austroasiatic	12.0515	105.015
133	Vietnamese	viet1252	vie	cá sấu	full	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Austroasiatic	20.681188	105.774071
134	Thai	thai1261	tha	จระเข้ ; หนังจระเข้	partial	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Tai-Kadai	14.192	100.671
135	Hindi	hind1269	hin	मगर ; मगरमच्छ	partial	animal	fur or pelt	n01697178	n14760447	large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters	leather made from alligator's hide	crocodile	alligator	Eurasia	Indo-European	25	77
136	English	stan1293	eng	alligator	full	animal	fur or pelt	n01698434	n14760447	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	leather made from alligator's hide	alligator	alligator	Africa;Eurasia;South America	Indo-European	53	-1
137	Farsic-Caucasian Tat	fars1254	fas	تمساح	full	animal	fur or pelt	n01698434	n14760447	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	leather made from alligator's hide	alligator	alligator	Eurasia	Indo-European	37.24538474190638	50.26938429326292
